Estimate,Est.Error,Q2.5,Q97.5,variable,mod,waic
0.01715078201577282,0.06274614276383945,-0.10575302769211609,0.1403696442196008,Intercept,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),833.1359548138661
0.4524237286701171,0.06365312338035926,0.326331918962442,0.577793496024872,Stream_PAR_sum,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),833.1359548138661
-0.01905096616874842,0.06746602060984551,-0.151765228312425,0.11719381669604376,MOD_ann_NPP,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),833.1359548138661
0.2071281660510603,0.06439423512157912,0.08240180683432663,0.3343817193464924,drainage_density_connected,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),833.1359548138661
-0.09554862036376152,0.02964601577413416,-0.15402730794253106,-0.03554154273546119,Disch_cv,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),833.1359548138661
0.0062053098849137,0.06354406579125964,-0.11741362968613606,0.13153528583667762,Intercept,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),842.9540732723282
0.48809319596413825,0.0674915517555384,0.35915737359225514,0.6275428946872023,Stream_PAR_sum,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),842.9540732723282
-0.00852852471971949,0.06738542889603931,-0.13806100867123616,0.12158713420323113,MOD_ann_NPP,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),842.9540732723282
0.18762693146066084,0.06018687079052388,0.06914501859594155,0.31076963951569425,drainage_density_connected,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),842.9540732723282
-0.02364487105656082,0.02174706224782364,-0.06637715505173346,0.01885837340788668,max_interstorm,PR ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),842.9540732723282
0.01590152716769441,0.06941187710518378,-0.11942836828779065,0.1582177298194667,Intercept,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + max_interstorm + (1 | site_name),845.4685966415747
0.43148869882555496,0.06468993715207734,0.3082211505639436,0.561801511706792,Stream_PAR_sum,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + max_interstorm + (1 | site_name),845.4685966415747
0.02200965190922121,0.06935178639770567,-0.11411865131545389,0.16162980738671984,MOD_ann_NPP,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + max_interstorm + (1 | site_name),845.4685966415747
-0.0132102574183386,0.03742677154058129,-0.08624116138215607,0.05897431912793405,width_to_area,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + max_interstorm + (1 | site_name),845.4685966415747
-0.02109756775525434,0.02224368955267119,-0.0644060504950521,0.02282932247569546,max_interstorm,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + max_interstorm + (1 | site_name),845.4685966415747
0.02204529226630265,0.06512400093515487,-0.1069486168182412,0.1485142021143828,Intercept,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + Disch_cv + (1 | site_name),833.5672551146969
0.3949349036642495,0.0638515790519512,0.2705105385131415,0.5180692039000547,Stream_PAR_sum,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + Disch_cv + (1 | site_name),833.5672551146969
0.01461337146879043,0.06991961447317642,-0.12654642393117274,0.1457226055300576,MOD_ann_NPP,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + Disch_cv + (1 | site_name),833.5672551146969
-0.03067148552011653,0.03592576897996066,-0.0986666188109785,0.03885718902221723,width_to_area,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + Disch_cv + (1 | site_name),833.5672551146969
-0.0863432712628294,0.0290357326881888,-0.14308290712534583,-0.03014343799183572,Disch_cv,PR ~ Stream_PAR_sum + MOD_ann_NPP + width_to_area + Disch_cv + (1 | site_name),833.5672551146969
0.060421684729778255,0.06351178598751107,-0.06412071577367136,0.1817909129263005,Intercept,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),1055.4961363269156
0.057286289579949336,0.06577369529986751,-0.06509469273351554,0.18710153637456542,Stream_PAR_sum,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),1055.4961363269156
-0.12502289827269264,0.06863012501727425,-0.25921368886764135,0.011660690401149683,MOD_ann_NPP,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),1055.4961363269156
0.21578441222078523,0.06463754763657273,0.08386725512207241,0.3408637319707882,drainage_density_connected,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),1055.4961363269156
-0.004137292007821028,0.034445950994438854,-0.07359538835163923,0.061502513029990734,Disch_cv,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + Disch_cv + (1 | site_name),1055.4961363269156
0.06058374765068997,0.061504109758124405,-0.06123208282515817,0.18100559058531226,Intercept,NEP ~ Stream_PAR_sum + MOD_ann_NPP + drainage_density_connected + max_interstorm + (1 | site_name),1056.9243881988803
