GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID,VPU
1853,26.9,SWBD,-81.31303188,34.33553927,WGS84,9708028,03N
1854,1.6,SWBD,-84.59475695,34.30099242,WGS84,6498796,03W
1855,4.2,SWBD,-87.66827794,34.29530682,WGS84,19569546,06
1856,5.4,SWBD,-88.42137699,34.29832823,WGS84,18696329,03W
1857,11.7,SWBD,-81.35853457,34.30684859,WGS84,9707906,03N
1858,3.2,SWBD,-82.59218161,34.28872712,WGS84,11737677,03N
1859,1.4,SWBD,-86.80527735,34.20650058,WGS84,18589236,03W
1861,36.8,SWBD,-82.01133036,34.25051586,WGS84,9871412,03N
1862,36.2,SWBD,-84.65223176,34.1456322,WGS84,6499032,03W
1864,59,SWBD,-89.80626384,34.15339066,WGS84,15276780,08
1865,9.6,SWBD,-88.39985133,34.11567357,WGS84,18695469,03W
1867,62.6,SWBD,-87.12722667,34.0371111,WGS84,18580339,03W
1868,5.6,SWBD,-88.5273523,33.85609267,WGS84,18698527,03W
1869,107.5,SWBD,-89.69365345,33.84480636,WGS84,18019730,08
1870,26.3,SWBD,-86.06805258,33.85910295,WGS84,26132819,03W
1871,2.3,SWBD,-83.93957457,33.74232846,WGS84,6331666,03S
1872,131.4,SWBD,-82.27855092,33.73937845,WGS84,11739127,03N
1873,3.4,SWBD,-83.8055797,33.6671631,WGS84,6331138,03S
1874,0.3,SWBD,-87.06030398,33.60699419,WGS84,18567463,03W
1875,0.6,SWBD,-86.97729668,33.56554519,WGS84,18566549,03W
1876,9,SWBD,-88.49078101,33.53794494,WGS84,18698737,03W
1877,2,SWBD,-84.29384545,33.5151849,WGS84,6334322,03S
1878,3,SWBD,-86.65189164,33.46462486,WGS84,21656572,03W
1879,223.3,SWBD,-80.27293462,33.46390014,WGS84,9673564,03N
1880,55.7,SWBD,-86.24078971,33.53606882,WGS84,26132779,03W
1881,3.7,SWBD,-85.04150401,33.42229045,WGS84,3291076,03W
1882,0.8,SWBD,-84.57989488,33.42982518,WGS84,6412902,03W
1883,69.9,SWBD,-83.24333129,33.46830916,WGS84,1055183,03S
1884,2.5,SWBD,-84.21672861,33.33762974,WGS84,6338550,03S
1885,3.2,SWBD,-84.42055382,33.33182415,WGS84,6413436,03W
1886,9.4,SWBD,-83.85790239,33.35961883,WGS84,6336538,03S
1887,1,SWBD,-87.48011751,33.3034003,WGS84,18229761,03W
1888,18.1,SWBD,-87.558389879999993,33.34704215,WGS84,18229631,03W
1889,25,SWBD,-85.59158304,33.30019019,WGS84,22035573,03W
1890,220.9,SWBD,-80.05439613,33.308191,WGS84,9644987,03N
1891,8.8,SWBD,-81.52627941,33.2550091,WGS84,166757149,03N
1892,1.8,SWBD,-84.03072616,33.194221,WGS84,6339622,03S
1893,3.8,SWBD,-81.63295139,33.18197159,WGS84,22724739,03N
1894,37.9,SWBD,-83.23086337,33.21245875,WGS84,1056833,03S
1895,32.4,SWBD,-86.50252552,33.06685947,WGS84,22273576,03W
1897,1.4,SWBD,-83.65520468,32.90892315,WGS84,6340532,03S
1898,5.6,SWBD,-83.80648876,32.83482216,WGS84,6341554,03S
1899,19.7,SWBD,-86.45997423,32.87141217,WGS84,22276470,03W
1900,134,SWBD,-85.90803678,32.78043277,WGS84,22042685,03W
1901,18.6,SWBD,-85.12065588,32.69760485,WGS84,3298722,03W
1902,11.1,SWBD,-86.30059506,32.64523801,WGS84,22276622,03W
1903,3.5,SWBD,-85.08948523,32.63387914,WGS84,3298784,03W
1904,2.9,SWBD,-86.28917434,32.59796928,WGS84,22276644,03W
1905,2.2,McGill,-85.88798664,32.55069727,WGS84,21713310,03W
1906,6.6,SWBD,-85.03176003,32.55143327,WGS84,3298858,03W
1907,3.4,SWBD,-88.50937206,32.48965268,WGS84,18533538,03W
1908,14.2,SWBD,-88.79537886,32.49927752,WGS84,18195387,03W
1909,27.1,SWBD,-83.93511798,31.93982574,WGS84,25327254,03W
1910,126.3,SWBD,-85.10643095,31.78516908,WGS84,3443270,03W
1911,6.1,SWBD,-86.44097753,31.43976765,WGS84,2378807,03W
1912,2.2,SWBD,-85.71644411,31.39710135,WGS84,2189725,03W
1913,3.5,SWBD,-89.56622192,31.20440299,WGS84,15701791,08
1914,1.8,SWBD,-89.12969133,30.88315715,WGS84,18109246,03W
1915,11,SWBD,-88.33490836,30.74549634,WGS84,18095215,03W
1916,83.5,SWBD,-84.83907732,30.77018709,WGS84,3517838,03W
1917,28.9,SWBD,-84.57111808,30.43273539,WGS84,10365802,03W
1918,12.8,SWBD,-85.18183106,30.19315308,WGS84,2135666,03W
1919,18.6,SWBD,-81.8521604,29.51521407,WGS84,16624800,03S
