GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
132,102.4,SWBD,-122.3109478,40.78407135,WGS84,7963509
133,11.1,SWBD,-122.5560884,40.62416624,WGS84,2782735
134,6.8,SWBD,-120.95366,40.46886054,WGS84,20296851
135,4.3,SWBD,-123.4007749,40.33504119,WGS84,8321261
136,18.7,SWBD,-120.9634155,40.27141316,WGS84,2774826
137,3,SWBD,-120.5922914,40.1827255,WGS84,8027938
138,102.9,SWBD,-121.1498998,40.24828538,WGS84,2773702
139,6.1,SWBD,-121.1711591,40.14210831,WGS84,2773744
140,6.9,SWBD,-121.1855058,39.88944484,WGS84,2776580
141,5.3,SWBD,-120.1964834,39.91385854,WGS84,8041975
142,17.8,SWBD,-120.5121729,39.91420682,WGS84,8041941
143,0.7,SWBD,-121.5803183,39.85790697,WGS84,2770688
144,10.3,SWBD,-122.3627754,39.79399033,WGS84,7992993
145,5.9,SWBD,-120.9886748,39.72912269,WGS84,8042009
146,4.1,SWBD,-122.5263249,39.56151153,WGS84,7993221
147,2.2,SWBD,-121.107276,39.59402685,WGS84,8038153
148,45.6,SWBD,-121.4453441,39.58608847,WGS84,2776716
149,2.1,SWBD,-121.6096319,39.52297755,WGS84,7968115
150,3.8,SWBD,-120.545517,39.49579071,WGS84,8064607
151,12.9,SWBD,-120.1362414,39.47790198,WGS84,8934434
152,12.5,SWBD,-121.6699185,39.47503764,WGS84,7978075
153,2.7,SWBD,-120.3092804,39.442132,WGS84,8934428
154,2.9,SWBD,-120.63721,39.45224068,WGS84,8064617
155,1.3,SWBD,-120.534169,39.41638263,WGS84,8064653
156,7.4,SWBD,-122.9469057,39.42347231,WGS84,24681161
157,2,SWBD,-120.0969499,39.40261095,WGS84,8934462
158,14.5,SWBD,-121.1321799,39.43970904,WGS84,8062415
159,2,SWBD,-120.4778896,39.3887727,WGS84,8064689
160,1.3,SWBD,-120.1526663,39.38044904,WGS84,8934490
161,6.1,SWBD,-122.5051053,39.34508606,WGS84,7996321
162,1.9,SWBD,-120.6311103,39.33482733,WGS84,8064721
