site_name,long_name,year,date,GPP_obs,ER_obs,temp.water,discharge,depth,LAI,Stream_PAR,GPP_interp,Q,litter,P_ante,AR,HR_alg,K_er,HR,C,ER_latent,ER_sim
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-01,0.49586848664059396,-2.000964692626228,4.939583333333333,15.238593226187499,1.1183746978777946,0.5944360974456186,7.867093738445822,0.49586848664059396,0.04140014584852589,-0,0.49586848664059396,-0.24793424332029698,-0.3966947893124752,0.0025871294717739464,-0.263939208033811,102.02010023597033,-0.9085682406665831,-0.9307079807431033
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-02,0.7299512888150914,-3.0084190624842906,3.878125,11.7391028844375,0.993579009165911,0.5917370718238337,5.2916075108695,0.7299512888150914,0.03189274523788536,0.33366527460242595,0.49586848664059396,-0.3649756444075457,-0.3966947893124752,0.0023389657754206324,-0.23448391075283356,100.25110808244499,-0.9961543444728544,-1.2876950457229452
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-03,0.9361179877855916,-3.648505296744708,1.1625,9.59203695409375,0.9060158031094696,0.5890380462020489,12.764864073226668,0.9361179877855916,0.02605960556788768,0.33366527460241224,0.49586848664059396,-0.4680589938927958,-0.3966947893124752,0.00180068339108483,-0.17742511343025427,98.5320985958357,-1.0421788966355252,-0.939041597278917
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-04,0.9416915827866859,-3.2172634969670115,0.42604166666666665,8.8956194981875,0.8743485313017855,0.586339020580264,14.776220620141086,0.9416915827866859,0.024167581558976498,0.33366527460242595,0.49586848664059396,-0.4708457913933429,-0.3966947893124752,0.0016758864583186134,-0.16129589523589463,96.2451211627546,-1.0288364759417128,-1.0582255077589433
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-05,0.9305616147194897,-3.228097052970951,0.6822916666666666,9.401193204,0.8980815020822329,0.5836399949584792,13.889810769402942,0.9305616147194897,0.02554112207201071,0.33366527460241224,0.49586848664059396,-0.46528080735974486,-0.3966947893124752,0.0017183717730763646,-0.16401998400015647,95.450813712166,-1.0259955806723764,-0.9036735533339812
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-06,1.3017938896801713,-3.985622040187746,2.8135416666666666,9.363437408,0.896647375592765,0.5809409693366943,7.724168839941214,1.3017938896801713,0.025438547284572913,0.33366527460242595,0.6129098877278427,-0.6508969448400856,-0.4903279101822742,0.002112331454747253,-0.2007358102805185,95.03045075117586,-1.3419606653028784,-1.1587427906311791
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-07,1.488325757617809,-4.4079157768765995,5.048958333333333,9.442488605875,0.9001004090787956,0.5782419437149093,10.516905843919137,1.488325757617809,0.025653313245770797,0.33366527460242595,0.8330346383003415,-0.7441628788089045,-0.6664277106402733,0.0026140375485490335,-0.2436695142772919,93.21576670256509,-1.65426010372647,-1.7498844398711235
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-08,1.8088168843123893,-4.1776205345266995,6.539583333333334,9.18498227846875,0.8887923670610103,0.5755429180931245,13.903756981748346,1.8088168843123893,0.024953721140823965,0.33366527460241224,0.9389047852861387,-0.9044084421561946,-0.751123828228911,0.0030074847399676964,-0.2729816104171007,90.76741331031086,-1.9285138808022064,-1.958095363647446
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-10,2.369067362406123,NA,7.2625,8.93897967015625,0.8778480579449839,0.5754303854299264,13.895440952709267,2.369067362406123,0.02428538229142459,0.013911776777764312,0.9361265987530878,-1.1845336812030616,-0.7489012790024703,0.003217370948165406,-0.28496615315612217,88.57112149863049,-2.218401113361654,-2.2846938756095514
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-11,0.8485802526610906,NA,7.26875,10.69462418415625,0.9517634922916373,0.5780168783885132,9.728707065068683,0.8485802526610906,0.029055109907282013,-0,1.1161777521998304,-0.4242901263305453,-0.8929422017598644,0.0032192430830924397,-0.2739542031508344,85.09894906341493,-1.591186531241244,-1.4681173282647346
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-12,2.361191861206498,NA,6.833333333333333,10.22031699690625,0.9328070367588865,0.5806033713471,15.008678937993116,2.361191861206498,0.027766514140094723,-0,1.3950598236489902,-1.180595930603249,-1.1160478589191922,0.003091195843745191,-0.25937756155160324,83.90848547381259,-2.5560213510740444,-2.5517612132857055
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-13,2.2829585813569353,NA,5.83125,9.16551444615625,0.8878929526591961,0.5831898643056869,12.245574488743555,2.2829585813569353,0.024900831016051353,-0,1.6485713209650992,-1.1414792906784677,-1.3188570567720794,0.002814163957156936,-0.23130688841965757,82.19382095041111,-2.6916432358702047,-2.6960646489953213
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",2008,2008-01-14,1.4730031796655034,NA,5.5093749999999995,9.863701705,0.9181629120979466,0.5857763572642737,4.443689632286138,1.4730031796655034,0.026797663218123685,-0,2.0889421233592564,-0.7365015898327517,-1.6711536986874052,0.0027301674408510383,-0.2193907185834677,80.35797193269582,-2.6270460071036243,-2.589817322920057
