site_name,year,disch_cv_annual,GPP_annual,ER_annual,NEP_annual,watertemp_mean_annual,disch_mean_annual,PAR_mean_annual,gpp_er_cor_annual,siteyear
nwis_01400500,2008,1.3177522361411569,2493.213379619566,-2103.1932077401743,393.252019321928,16.883065801457228,16.240410772249223,32.80518112034754,0.6575066822994209,nwis_01400500_2008
nwis_01400500,2009,1.141816692442551,1363.7495744596538,-1366.5822067608442,0.09181835962746948,12.91827547521257,23.49803440089714,30.807739283907942,0.5240883496897393,nwis_01400500_2009
nwis_01400500,2012,1.1614514804486369,1906.8455796556186,-1727.1238695235782,186.62624266851637,14.90898935564663,16.06582265688895,33.08903594047869,0.7628469917686158,nwis_01400500_2012
nwis_01400500,2013,1.1684047089305436,1302.5227689130627,-1213.7510547649615,91.39386546063604,13.437037671232877,23.469901602790532,32.58519766108274,0.5901103883293127,nwis_01400500_2013
nwis_01463500,2009,0.511665645081293,2652.9891045741524,-2586.537617063674,70.09589724050208,12.715115977782807,377.6948797132852,30.628591406176437,0.6650898057513005,nwis_01463500_2009
nwis_01463500,2010,0.9595858052744632,2982.4778226015574,-2609.6585288943734,374.3328474155224,13.802446477372914,333.5835160999072,32.955835024997256,0.7738484286710007,nwis_01463500_2010
nwis_01463500,2012,0.6558264554805857,2705.931602041181,-1982.0937156555403,737.9995474211406,13.688213794244819,282.33223005281934,33.13808960541639,0.7743085993487087,nwis_01463500_2012
nwis_01463500,2013,0.739280150043935,1711.5030224104999,-1624.9296125339865,93.78193424950636,13.21077569623898,288.4399932745761,32.46316819144767,0.3435018213021684,nwis_01463500_2013
nwis_01463500,2016,0.8430531770288429,2788.4108908107005,-2732.2112032175987,48.44689226270733,14.59646735657457,222.77992670796186,32.79583816912131,0.7419489910044944,nwis_01463500_2016
nwis_01480617,2012,1.3339812179367871,1218.2072785820105,-825.0361649626587,391.3510461957221,14.43151426722592,1.6754882859753282,33.631079922609835,0.40378262592911424,nwis_01480617_2012
nwis_01480617,2013,1.038796551101902,1523.5991857104855,-725.4039918382515,829.3741433274679,13.059130827233602,2.714411632308931,32.20175401645808,0.6944108508643467,nwis_01480617_2013
nwis_01480617,2015,1.2439166448820196,1305.414696409403,-695.0140409266241,746.1030754107039,12.976075011904008,1.7319797082457689,33.293148344699176,0.543874379399175,nwis_01480617_2015
nwis_01480617,2016,0.6883914240372523,1075.643331164369,-829.4815787064408,437.0695136195342,14.295839674901975,1.7930150178948832,33.15596086237377,0.28357115087724477,nwis_01480617_2016
nwis_01480870,2009,0.814833331584057,1697.7399162902707,-1511.089674036483,241.58702671485585,13.637473413885484,4.737751484797989,30.699719059443286,0.25391120181230686,nwis_01480870_2009
nwis_01480870,2013,1.0535641834952663,1509.1897154304484,-1418.1651144704351,72.66995796015902,13.031236810986874,3.9368815060605638,32.22702021085151,0.5687509486650906,nwis_01480870_2013
nwis_01480870,2014,0.718667427838142,1303.9494586209676,-1035.793053222666,296.51759317881596,12.173392747335413,5.15258563054402,32.742789174641096,0.583947433506939,nwis_01480870_2014
nwis_01481000,2011,1.166217031168233,904.4043072413969,-891.1579913718838,64.26707588247959,13.956476598106399,21.525794460646964,32.843152544390136,0.6534917948152436,nwis_01481000_2011
nwis_01481000,2012,1.2579003105624316,1267.8861855784232,-1054.9772974687821,208.9821777440551,14.657182651773288,9.369376616363914,33.85848474629508,0.6034220584445067,nwis_01481000_2012
nwis_01481000,2013,1.0481382260854726,1020.9815228661763,-1022.0168738306163,1.3186821688573267,13.27420119111134,12.664807439136863,32.53685381483178,0.3613237671105911,nwis_01481000_2013
nwis_01481500,2012,1.1779735564401277,1014.6262321390907,-1024.4299213257846,2.119463336216443,14.793156591530055,11.391357316085974,33.85848474629508,0.6543303863546627,nwis_01481500_2012
nwis_01481500,2016,1.17046251493794,963.7280179659174,-912.2626662622561,124.85836594166547,14.229014772412446,10.47189141156916,33.44331424160656,0.6358285819001297,nwis_01481500_2016
nwis_01567000,2012,0.9447546864315876,3575.6474394116194,-3018.619446808339,542.2387364720254,13.973766509972034,104.81566264104227,32.94579440563278,0.39554129150349737,nwis_01567000_2012
nwis_01570500,2012,0.7709809190690262,4201.311207300774,-3630.630601214517,566.3735450542293,16.10245210891879,676.895786993708,33.02169167722623,0.832069137366261,nwis_01570500_2012
nwis_01608500,2008,1.2535101590333493,1949.6149883283388,-1316.5241996083817,647.6859877144266,14.107151630784612,38.05925595377066,32.16250190793443,0.6219536100935037,nwis_01608500_2008
nwis_01608500,2011,1.5537648098026233,1305.451971190514,-1054.0856383387186,202.2132832717725,14.404207664727245,55.496135069549325,31.92852524800438,0.25297332743158335,nwis_01608500_2011
nwis_01608500,2012,1.361464469312198,2222.4437289132,-1499.1245095140448,764.0045530260163,15.493511642564798,25.621425893068466,33.60342266854426,0.6437925944444008,nwis_01608500_2012
nwis_01608500,2013,1.3907543591855962,1623.1938252797424,-1350.3800619553529,303.4385104434118,13.932559656135808,43.98321826023395,31.615749192328764,0.5963794564889592,nwis_01608500_2013
nwis_01608500,2014,1.4901158289244676,1213.6260254384622,-911.5859383364497,320.3662949684674,13.815116170904181,39.19651589169066,32.10619308016438,0.6662324043634817,nwis_01608500_2014
nwis_01608500,2015,1.2335157750634986,1289.2260627467292,-1031.433889221887,269.80057970545874,14.55383143362355,35.96536071601721,32.74705915115178,0.6573285966169999,nwis_01608500_2015
nwis_01608500,2016,1.2892640388606404,1176.94422360942,-977.476424971556,208.2084287513426,14.90294906280315,33.59374126805656,33.21967592132459,0.7410720439991354,nwis_01608500_2016
