"site_name","lat","lon","NEP","PtoR","nyears"
"AZ_LV",33.5586,-111.669,-12.0131959840117,0.928271903781196,1
"AZ_OC",34.8616,-111.762,-95.9843819447511,0.46000739529446,1
"AZ_WB",34.6793,-111.695,-454.930865148057,0.189382283519434,1
"FL_SF2500",29.8493,-82.7148,-1348.90832673118,0.0548217734499154,1
"FL_SF2800",29.9118,-82.8606,-1137.26163098275,0.144246797419566,1
"FL_WS1500",29.9219,-82.4262,-964.917348690585,0.0415527385156171,1
"IN_SDW",41.2216,-86.0447,-209.900642927826,0.476977525078056,1
"MD_DRKR",39.3112,-76.7166,-323.222219587058,0.66831697374907,1
"NC_NHC",35.9795,-79.0018,-511.871741366242,0.317368302287293,2
"NC_UNHC",35.9925,-79.046,-406.684651030512,0.264530059427706,3
"NH_DCF",43.1347,-71.1839,-665.05278666636,0.0651123853744234,1
"NH_GOF",42.9481,-71.4633,-28.2300110754816,0.840254282532225,2
"nwis_01184000",41.9873186,-72.6053669,-296.903485081526,0.802644126374656,1
"nwis_01388000",40.99194444,-74.28,-157.082536017941,0.435076575066257,2
"nwis_01400500",40.55555556,-74.58277778,16.2542430588249,1.02636424409928,9
"nwis_01408500",39.98638889,-74.2233333,-391.258438756176,0.0908154827925198,1
"nwis_01463500",40.22166667,-74.7780556,23.8317148462239,1.04508886179022,7
"nwis_01480617",39.9617734,-75.8013341,70.2471509047406,1.39472491167052,6
"nwis_01480870",39.9687191,-75.6732715,-32.9249069225758,0.949164078675519,9
"nwis_01481000",39.8698328,-75.5932623,-28.8111331333233,0.93099516747918,9
"nwis_01481500",39.7695,-75.5766944,6.25505618951385,1.02342258058677,2
"nwis_01484525",38.59455556,-75.29102778,-381.406562458095,0.176236984330329,1
"nwis_01493112",39.25705556,-75.94013889,-152.188794780582,0.554634035151391,1
"nwis_01567000",40.47841677,-77.1291484,17.9028743220342,1.02509349274007,2
"nwis_01570500",40.25481164,-76.8860846,171.363265010443,1.15718498210624,1
"nwis_01608500",39.44703879,-78.6541817,113.243278006748,1.31274363054205,7
"nwis_01611500",39.5823158,-78.3097312,-61.6728069058847,0.857004173533753,7
"nwis_01632900",38.69345016,-78.6427935,-118.708315516098,0.617865592270943,6
"nwis_01645704",38.88469518,-77.3324293,-156.07502500468,0.234878162026042,7
"nwis_01645762",38.90888916,-77.3382627,-96.285029975925,0.313220311409528,5
"nwis_01646000",38.97594346,-77.24581439,-162.462870447797,0.357297330030671,4
"nwis_01646305",38.95977716,-77.1756743,-101.851766860272,0.434530953457569,5
"nwis_01646500",38.94977778,-77.12763889,41.5755200431418,1.06735064250322,2
"nwis_01648010",38.96016667,-77.0420556,-110.528692469989,0.496161522836201,4
"nwis_01649190",39.03313889,-76.96427778,-109.833222092872,0.444410951583807,6
"nwis_01649500",38.96025,-76.9259722,-119.984965683088,0.69474535297174,8
"nwis_01650800",38.9862222,-77.0048611,-78.3255361427439,0.561325591410559,3
"nwis_0165389205",38.86624167,-77.2863833,-68.196233362469,0.542808953821693,3
"nwis_01654000",38.81289066,-77.2283158,-111.96146073946,0.476325566613323,1
"nwis_01654500",38.8109462,-77.2349827,-151.614054315418,0.325108978997123,3
"nwis_01656903",38.8823899,-77.4319047,-133.166284427187,0.40973670654849,4
"nwis_01658000",38.59613889,-77.05602778,-348.987048919115,0.174114761894186,1
"nwis_0166818623",38.1296111,-77.2321667,-186.429321973834,0.132381763858858,1
"nwis_01673000",37.76764189,-77.3322018,-217.022885395969,0.189023555851175,3
"nwis_02035000",37.67097957,-78.0858328,-234.958104232483,0.63446870539742,5
"nwis_02101726",35.73514055,-79.4230754,-757.117317196618,0.107449382829757,8
"nwis_02135000",34.05710829,-79.2469897,-756.993624583989,0.0901004622068829,3
"nwis_02148315",33.82848933,-80.6203645,-643.296963033887,0.18265491394101,6
"nwis_02156500",34.5951393,-81.4212089,-420.037199840655,0.527214066913059,9
"nwis_02160105",34.5354163,-81.548158,-635.273059505396,0.220642718831302,9
"nwis_02160700",34.5093039,-81.5981594,-434.603304656995,0.172682635285006,9
"nwis_02168504",34.0509822,-81.2095418,-956.058285919342,0.225547444299318,9
"nwis_02169000",34.0140416,-81.0878717,-147.663898728669,0.751513115253747,9
"nwis_02203655",33.67899706,-84.3579807,-324.108116165629,0.122169894988209,6
"nwis_02203700",33.6889966,-84.3304798,-256.15010478288,0.278028907341174,6
"nwis_02203863",33.69319444,-84.25388889,-238.38855674151,0.148942990290538,1
"nwis_02203900",33.66621924,-84.2246426,-574.490538286325,0.132679942040484,5
"nwis_02203950",33.7634389,-84.2201982,-187.030862871827,0.23086509906001,4
"nwis_02203960",33.69666667,-84.1986111,-231.330508064387,0.433451619972572,4
"nwis_02204037",33.6684422,-84.1510287,-229.633154152339,0.131258336995937,3
"nwis_02207160",33.7734405,-84.077137,-404.198366754042,0.112998994291906,3
"nwis_02208450",33.64011554,-83.7790674,-243.627063497631,0.132037855944683,2
"nwis_02208493",33.6285,-83.7988611,-258.063169883848,0.0879863100321489,2
"nwis_02217643",34.1620583,-83.5250944,-245.247369379907,0.0973949044615982,2
"nwis_02234000",28.7141611,-81.0353374,-512.174821270278,0.332331238154316,6
"nwis_02234500",28.83804694,-81.3242323,-221.214953585533,0.696262079673821,3
"nwis_02235500",28.944154,-81.3397866,-760.09601519425,0.141410027634043,1
"nwis_02236000",29.00831827,-81.3825651,-689.134010851279,0.321810736555696,6
"nwis_02264000",28.39056323,-81.5195173,-1550.04677549986,0.0548299000514655,4
"nwis_02264100",28.32528785,-81.5206284,-553.65264789276,0.376934604736747,2
"nwis_02266200",28.38500749,-81.6164632,-1051.66135217814,0.0297092941173269,4
"nwis_02266300",28.33278738,-81.579796,-1152.09737577644,0.047068818248223,1
"nwis_02336120",33.83149307,-84.342703,-186.165655528654,0.237299518972704,9
"nwis_02336152",33.81044444,-84.2479722,-136.641541386111,0.227202693663232,5
"nwis_023362095",33.82138889,-84.2747222,-133.369202459482,0.166567471626239,4
"nwis_02336240",33.80288264,-84.3407585,-259.093054359893,0.325896507631879,9
"nwis_02336300",33.82030556,-84.40763889,-295.092155566608,0.316371420576496,7
"nwis_02336313",33.8217716,-84.4388178,-195.327525800696,0.289688862407991,8
"nwis_02336340",33.89788036,-84.345481,-185.405924809011,0.303442639124888,3
"nwis_02336360",33.86916667,-84.37888889,-226.089526156078,0.282768196735494,9
"nwis_02336410",33.83843787,-84.4393734,-162.632587855694,0.368363542513318,9
"nwis_02336526",33.79427255,-84.4743747,-92.0337940173187,0.623088968209634,9
"nwis_02336728",33.74344087,-84.5682657,-214.417877590159,0.330952657596418,7
